H01|031402|291080|2021-12-31|REPPS|040301|0|
D01|04030101000000|nama Konsumen Pihak Terkait a|JK:e53|JK:e25|1122|1212|90
D01|04030101000000|nama Konsumen Pihak Terkait b|JK:e25|JK:e26|1122|1212|90
D01|04030101000000|nama Konsumen Pihak Terkait c|JK:e30|JK:e27|1122|1212|90
D01|04030101000000|nama Konsumen Pihak Terkait d|JK:e36|JK:e28|1122|1212|90
D01|04030101000000|nama Konsumen Pihak Terkait e|JK:e53|JK:e29|1122|1212|90
D01|04030101000000|nama Konsumen Pihak Terkait f|JK:e25|JK:e30|1122|1212|90
D01|04030101000000|nama Konsumen Pihak Terkait g|JK:e30|JK:e31|1122|1212|90
D01|04030101000000|nama Konsumen Pihak Terkait h|JK:e36|JK:e32|1122|1212|90
D01|04030101000000|nama Konsumen Pihak Terkait i|JK:e53|JK:e33|1122|1212|90
D01|04030101000000|nama Konsumen Pihak Terkait j|JK:e25|JK:e34|1122|1212|90
D01|04030101000000|nama Konsumen Pihak Terkait k|JK:e30|JK:e35|1122|1212|90
D01|04030101000000|nama Konsumen Pihak Terkait l|JK:e36|JK:e36|1122|1212|90
D01|04030101000000|nama Konsumen Pihak Terkait m|JK:e53|JK:e37|1122|1212|90
D01|04030101000000|nama Konsumen Pihak Terkait n|JK:e25|JK:e38|1122|1212|90
D01|04030101000000|nama Konsumen Pihak Terkait o|JK:e30|JK:e46|1122|1212|90
D01|04030101000000|nama Konsumen Pihak Terkait p|JK:e36|JK:e47|1122|1212|90
D01|04030102000000||||17952|19392|1440
D01|04030103000000||||3232|2332|-900
D01|04030104000000||||555.45|831.56|-160.00
