H01|030403|2500000099|2026-01-31|LBPPNJU|2100D1|2|TEST-LBPPNJU
D01|2100D10100|Hana|JK:e60|20240501|15.00|3|5|1||4
D01|2100D10100|David|JK:e61|20240501|15.00|3|6|3||3
D01|2100D10100|Roger|JK:e60|20240501|25.00|3|6|2||4
D01|2100D10100|Sisca|JK:e60|20240501|15.00|3|5|1||4
D01|2100D10100|Joko|JK:e61|20240501|35.00|4|6|2||4
D01|2100D10100|Cipto|JK:e60|20240501|25.00|2|6||1|5
D01|2100D10100|Maman|JK:e61|20240501|15.00|2|7||3|4
D01|2100D10100|Diki|JK:e61|20240501|25.00|2|8||1|7
D01|2100D10100|Cakra|JK:e60|20240501|15.00|4|6||2|4
D01|2100D10100|Yossi|JK:e61|20240501|15.00|4|9||1|8
D01|2100D10000|||||30||9|8|47
