H01|031401|251030|2021-12-31|REPPK|040201|0|
D01|04020101000000|nama Debitur 2|21221|212112|190891
D01|04020101000000|nama Debitur 2|21221|212112|190891
D01|04020101000000|nama Debitur 3|21221|212112|190891
D01|04020101000000|nama Debitur 4|21221|212112|190891
D01|04020101000000|nama Debitur 5|21221|212112|190891
D01|04020101000000|nama Debitur 6|21221|212112|190891
D01|04020101000000|nama Debitur 7|21221|212112|190891
D01|04020101000000|nama Debitur 8|21221|212112|190891
D01|04020101000000|nama Debitur 9|21221|212112|190891
D01|04020101000000|nama Debitur 10|21221|212112|190891
D01|04020101000000|nama Debitur 11|21221|212112|190891
D01|04020101000000|nama Debitur 12|21221|212112|190891
D01|04020101000000|nama Debitur 13|21221|212112|190891
D01|04020101000000|nama Debitur 14|21221|212112|190891
D01|04020101000000|nama Debitur 15|21221|212112|190891
D01|04020101000000|nama Debitur 16|21221|212112|190891
D01|04020101000000|nama Debitur 17|21221|212112|190891
D01|04020101000000|nama Debitur 18|21221|212112|190891
D01|04020101000000|nama Debitur 19|21221|212112|190891
D01|04020101000000|nama Debitur 20|21221|212112|190891
D01|04020101000000|nama Debitur 21|21221|212112|190891
D01|04020101000000|nama Debitur 22|21221|212112|190891
D01|04020101000000|nama Debitur 23|21221|212112|190891
D01|04020101000000|nama Debitur 24|21221|212112|190891
D01|04020101000000|nama Debitur 25|21221|212112|190891
D01|04020102000000||530525|5302800|4772275
