H01|030404|2600000099|2026-01-31|LBPPNJS|2100D2|2|TEST-LBPPNJS
D01|2100D20100|Hana|JK:e60|20240501|15.00|3|5||2|3
D01|2100D20100|David|JK:e61|20240501|15.00|3|6||2|4
D01|2100D20100|Roger|JK:e60|20240501|25.00|3|6||1|5
D01|2100D20100|Sisca|JK:e60|20240501|15.00|3|5||1|4
D01|2100D20100|Joko|JK:e61|20240501|35.00|4|6|2||4
D01|2100D20100|Cipto|JK:e60|20240501|25.00|2|6|2||4
D01|2100D20100|Maman|JK:e61|20240501|15.00|2|7|2||5
D01|2100D20100|Diki|JK:e61|20240501|25.00|2|8||1|7
D01|2100D20100|Cakra|JK:e60|20240501|15.00|4|6||2|4
D01|2100D20100|Yossi|JK:e61|20240501|15.00|4|9||1|8
D01|2100D20000|||||30||6|10|48
