H01|031406|2200000099|2023-01-31|LBPPIS|0000|2|LBPPIS-1
D01|000001010000|PPI Syariah
D01|000001020000|716863428012000
D01|000001030000|IDD7168634280120
D01|000001040000|EN:e3
D01|000001050000|EN:e6
D01|000001060000|AK:e56
D01|000001060000|AK:e57
D01|000001060000|AK:e58
D01|000001060000|AK:e59
D01|000001060000|AK:e60
D01|000001080000|EN:e4
D01|000001090000|20181112
D01|000002010000|Jakarta
D01|000002020000|LO:e1107
D01|000002030000|12345
D01|000002040000|0218719798
D01|000002050000|ST:e2
D01|000002060000|situsweb.com
D01|000002070000|email@gmail.com
D01|000003010000|3
D01|000004010000|142
D01|000004020000|50
D01|000005010100|sdf
D01|000005010200|asdfsd
D01|000005010300|1234567
D01|000005010400|asdfsdf@sdf.co.id
D01|000005020100|asdfasdf
D01|000005020200|asdfsdf
D01|000005020300|1234567
D01|000005020400|petugas@asdf.com.id
